Longitude,Latitude,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
62.602,38.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.827209280000001,0.0,0.0,0.0
61.477,36.433,0.0,0.0,8.104939432427999,12.885732032147999,17.06222654712,2.42474778624,29.742048759839996,,8.977771985279999,3.180738665984,13.296974254499997,0.0,0.0,0.0,0.0,19.135697871296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.555,36.51,0.0,0.0,0.0,16.807166755956,0.0,0.0,0.0,8.86140702,0.0,0.0,6.1860177599999995,0.0,0.0,0.0,7.0055932296479995,22.42851660672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.445,36.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53984830408,0.0,0.0,3.358891892832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.636,37.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27760288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.899,37.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.445,36.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.916483870463999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.84,38.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0896476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.349,37.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.458,36.484,0.0,37.103932678176,0.0,0.0,2.5727326408080002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.91988190112,0.0,0.0,0.0
54.417,38.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.849019443976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
